Type,Section Lenght,Radius
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Left,1,1962.796
Left,1,1362.344
Left,1,1136.676
Left,1,1373.39
Left,1,1457.733
Left,1,1870.714
Left,1,1325.329
Left,1,951.668
Left,1,1148.882
Left,1,894.433
Left,1,795.654
Left,1,762.874
Left,1,731.894
Left,1,1713.558
Left,1,1852.959
Left,1,734.218
Left,1,560.445
Left,1,431.017
Left,1,262.431
Left,1,527.703
Left,1,346.738
Left,1,277.061
Left,1,355.828
Left,1,186.628
Left,1,187.908
Left,1,160.663
Left,1,142.855
Left,1,148.539
Left,1,121.28
Left,1,124.04
Left,1,112.518
Left,1,117.896
Left,1,116.086
Left,1,114.25
Left,1,134.925
Left,1,119.214
Left,1,117.358
Left,1,130.099
Left,1,113.827
Left,1,121.8
Left,1,131.906
Left,1,106.586
Left,1,114.269
Left,1,94.58
Left,1,100.063
Left,1,89.737
Left,1,87.027
Left,1,82.045
Left,1,73.625
Left,1,70.38
Left,1,69.322
Left,1,69.569
Left,1,66.27
Left,1,65.654
Left,1,62.636
Left,1,58.107
Left,1,56.334
Left,1,52.214
Left,1,47.762
Left,1,47.083
Left,1,47
Left,1,45.302
Left,1,45.805
Left,1,48.57
Left,1,49.556
Left,1,47.544
Left,1,49.281
Left,1,52.076
Left,1,54.363
Left,1,54.66
Left,1,51.367
Left,1,49.655
Left,1,48.567
Left,1,47.125
Left,1,46.665
Left,1,47.199
Left,1,46.936
Left,1,47.856
Left,1,53.263
Left,1,58.336
Left,1,65.97
Left,1,57.173
Left,1,50.245
Left,1,47.018
Left,1,46.322
Left,1,48.95
Left,1,58.247
Left,1,59.09
Left,1,58.636
Left,1,54.275
Left,1,56.134
Left,1,60.757
Left,1,73.749
Left,1,85.26
Left,1,94.675
Left,1,92.756
Left,1,87.877
Left,1,82.851
Left,1,78.573
Left,1,75.475
Left,1,74.005
Left,1,78.243
Left,1,76.553
Left,1,80.452
Left,1,81.211
Left,1,85.718
Left,1,91.444
Left,1,101.848
Left,1,111.741
Left,1,120.022
Left,1,126.304
Left,1,114.152
Left,1,106.005
Left,1,96.853
Left,1,95.199
Left,1,91.242
Left,1,92.053
Left,1,93.625
Left,1,94.447
Left,1,96.384
Left,1,94.271
Left,1,97.745
Left,1,93.678
Left,1,96.216
Left,1,96.121
Left,1,98.7
Left,1,101.835
Left,1,107.649
Left,1,113.572
Left,1,113.395
Left,1,120.721
Left,1,116.116
Left,1,122.163
Left,1,118.622
Left,1,124.152
Left,1,121.839
Left,1,124.766
Left,1,130.668
Left,1,129.65
Left,1,142.37
Left,1,141.63
Left,1,155.648
Left,1,160.549
Left,1,163.099
Left,1,160.516
Left,1,174.324
Left,1,169.744
Left,1,168.77
Left,1,184.504
Left,1,184.342
Left,1,206.079
Left,1,216.308
Left,1,246.046
Left,1,244.803
Left,1,281.909
Left,1,439.731
Left,1,355.352
Left,1,491.804
Left,1,915.412
Left,1,1237.243
Straight,1,0
Straight,1,0
Straight,1,0
Right,1,804.679
Right,1,667.694
Right,1,515.642
Right,1,506.366
Right,1,454.1
Right,1,346.873
Right,1,332.56
Right,1,275.3
Right,1,268.369
Right,1,238.554
Right,1,221.538
Right,1,210.789
Right,1,190.161
Right,1,182.33
Right,1,163.541
Right,1,156.929
Right,1,148.485
Right,1,146.602
Right,1,140.965
Right,1,144.602
Right,1,143.999
Right,1,145.89
Right,1,147.372
Right,1,143.229
Right,1,142.606
Right,1,136.315
Right,1,134.411
Right,1,130.421
Right,1,133.695
Right,1,134.861
Right,1,138.943
Right,1,140.723
Right,1,143.769
Right,1,141.688
Right,1,142.06
Right,1,140.957
Right,1,138.946
Right,1,138.846
Right,1,139.189
Right,1,141.422
Right,1,141.404
Right,1,143.583
Right,1,144.922
Right,1,144.491
Right,1,143.939
Right,1,144.161
Right,1,145.141
Right,1,144.371
Right,1,141.135
Right,1,140.512
Right,1,134.336
Right,1,129.674
Right,1,124.464
Right,1,124.59
Right,1,122.299
Right,1,125.299
Right,1,128.273
Right,1,135.101
Right,1,140.071
Right,1,145.169
Right,1,152.154
Right,1,151.546
Right,1,149.931
Right,1,146.263
Right,1,142.589
Right,1,133.743
Right,1,131.901
Right,1,125.96
Right,1,126.832
Right,1,127.051
Right,1,129.3
Right,1,130.39
Right,1,131.093
Right,1,130.746
Right,1,130.985
Right,1,130.15
Right,1,126.522
Right,1,128.195
Right,1,127.571
Right,1,130.017
Right,1,132.842
Right,1,134.86
Right,1,136.118
Right,1,136.283
Right,1,139.088
Right,1,137.509
Right,1,143.591
Right,1,142.756
Right,1,150.355
Right,1,153.785
Right,1,160.637
Right,1,161.751
Right,1,160.809
Right,1,161.71
Right,1,148.937
Right,1,147.771
Right,1,142.782
Right,1,140.238
Right,1,143.409
Right,1,144.105
Right,1,144.853
Right,1,149.601
Right,1,144.768
Right,1,144.516
Right,1,153.081
Right,1,146.709
Right,1,154.305
Right,1,158.934
Right,1,156.151
Right,1,159.249
Right,1,156.006
Right,1,150.247
Right,1,148.626
Right,1,149.7
Right,1,147.131
Right,1,150.379
Right,1,146.619
Right,1,150.287
Right,1,149.491
Right,1,151.705
Right,1,153.071
Right,1,153.777
Right,1,155.841
Right,1,151.888
Right,1,156.648
Right,1,152.832
Right,1,159.779
Right,1,156.613
Right,1,159.29
Right,1,157.997
Right,1,155.401
Right,1,154.111
Right,1,149.646
Right,1,156.259
Right,1,160.492
Right,1,163.762
Right,1,152.721
Right,1,150.721
Right,1,148.608
Right,1,158.389
Right,1,166.626
Right,1,156.949
Right,1,156.706
Right,1,156.749
Right,1,153.125
Right,1,151.372
Right,1,156.208
Right,1,155.278
Right,1,155.664
Right,1,159.699
Right,1,161.987
Right,1,165.674
Right,1,167.086
Right,1,174.586
Right,1,175.619
Right,1,181.196
Right,1,186.626
Right,1,191.5
Right,1,198.063
Right,1,204.939
Right,1,212.159
Right,1,212.538
Right,1,218.643
Right,1,214.937
Right,1,215.488
Right,1,212.109
Right,1,210.918
Right,1,209.328
Right,1,209.84
Right,1,210.305
Right,1,210.794
Right,1,214.806
Right,1,215.019
Right,1,215.518
Right,1,215.637
Right,1,219.921
Right,1,221.85
Right,1,228.44
Right,1,232.903
Right,1,237.555
Right,1,247.033
Right,1,249.659
Right,1,257.932
Right,1,255.261
Right,1,258.836
Right,1,253.553
Right,1,254.635
Right,1,257.107
Right,1,260.42
Right,1,271.552
Right,1,274.948
Right,1,284.401
Right,1,284.741
Right,1,285.791
Right,1,282.538
Right,1,280.777
Right,1,274.393
Right,1,275.731
Right,1,275.463
Right,1,273.771
Right,1,279.476
Right,1,280.681
Right,1,290.075
Right,1,297.273
Right,1,311.253
Right,1,315.269
Right,1,315.945
Right,1,319.755
Right,1,320.474
Right,1,324.244
Right,1,328.525
Right,1,345.32
Right,1,359.08
Right,1,390.672
Right,1,414.658
Right,1,429.01
Right,1,457.773
Right,1,482.269
Right,1,474.397
Right,1,474.95
Right,1,509.654
Right,1,501.136
Right,1,562.105
Right,1,624.958
Right,1,706.204
Right,1,809.733
Right,1,1055.302
Right,1,1139.367
Right,1,1099.002
Right,1,1057.743
Right,1,953.868
Right,1,986.863
Right,1,1022.001
Right,1,1022.966
Right,1,1023.181
Right,1,1065.083
Right,1,1251.623
Right,1,1374.41
Right,1,1608.672
Right,1,1613.875
Right,1,1815.609
Right,1,1532.596
Right,1,1537.06
Right,1,1538.815
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Right,1,1431.822
Right,1,1508.801
Right,1,1677.815
Right,1,1441.064
Right,1,1516.977
Right,1,1450.926
Right,1,1273.175
Right,1,1057.836
Right,1,1057.407
Right,1,807.95
Right,1,653.831
Right,1,569.075
Right,1,487.582
Right,1,425.253
Right,1,386.591
Right,1,366.803
Right,1,337.587
Right,1,326.331
Right,1,306.023
Right,1,296.72
Right,1,279.75
Right,1,269.291
Right,1,259.581
Right,1,246.512
Right,1,234.764
Right,1,220.661
Right,1,204.023
Right,1,193.057
Right,1,193.117
Right,1,186.277
Right,1,187.218
Right,1,190.886
Right,1,193.062
Right,1,197.734
Right,1,200.259
Right,1,207.074
Right,1,208.198
Right,1,214.232
Right,1,212.372
Right,1,213.789
Right,1,214.536
Right,1,215.564
Right,1,213.223
Right,1,213.112
Right,1,209.827
Right,1,202.49
Right,1,198.102
Right,1,188.802
Right,1,186.172
Right,1,184.573
Right,1,184.226
Right,1,185.026
Right,1,183.436
Right,1,185.585
Right,1,182.86
Right,1,178.176
Right,1,173.374
Right,1,168.191
Right,1,161.282
Right,1,154.877
Right,1,153.977
Right,1,152.723
Right,1,153.361
Right,1,158.13
Right,1,157.978
Right,1,153.05
Right,1,152.608
Right,1,150.525
Right,1,150.185
Right,1,150.169
Right,1,150.444
Right,1,150.363
Right,1,150.217
Right,1,149.78
Right,1,149.279
Right,1,148.666
Right,1,147.845
Right,1,148.759
Right,1,150.073
Right,1,153.462
Right,1,157.764
Right,1,157.402
Right,1,158.926
Right,1,155.678
Right,1,153.442
Right,1,148.535
Right,1,143.853
Right,1,143.441
Right,1,143.441
Right,1,143.33
Right,1,143.473
Right,1,143.362
Right,1,142.982
Right,1,142.745
Right,1,142.335
Right,1,142.288
Right,1,142.335
Right,1,142.24
Right,1,142.272
Right,1,141.799
Right,1,141.972
Right,1,142.035
Right,1,142.493
Right,1,146.272
Right,1,157.023
Right,1,179.737
Right,1,181.266
Right,1,174.687
Right,1,167.509
Right,1,150.109
Right,1,142.162
Right,1,141.972
Right,1,139.51
Right,1,140.088
Right,1,140.48
Right,1,140.746
Right,1,141.186
Right,1,165.225
Right,1,175.265
Right,1,180.899
Right,1,186.573
Right,1,167.067
Right,1,152.227
Right,1,146.458
Right,1,143.48
Right,1,140.95
Right,1,145.989
Right,1,147.488
Right,1,149.329
Right,1,155.875
Right,1,164.323
Right,1,168.638
Right,1,175.499
Right,1,183.951
Right,1,189.57
Right,1,194.308
Right,1,197.538
Right,1,202.428
Right,1,199.488
Right,1,204.328
Right,1,201.915
Right,1,197.225
Right,1,201.212
Right,1,202.918
Right,1,206.775
Right,1,205.35
Right,1,209.53
Right,1,206.23
Right,1,201.582
Right,1,197.705
Right,1,193.28
Right,1,191.251
Right,1,185.802
Right,1,185.249
Right,1,178.932
Right,1,181.819
Right,1,180.582
Right,1,184.987
Right,1,189.313
Right,1,196.635
Right,1,203.144
Right,1,208.003
Right,1,212.172
Right,1,213.81
Right,1,216.033
Right,1,209.334
Right,1,213.205
Right,1,204.753
Right,1,205.394
Right,1,203.806
Right,1,204.092
Right,1,205.704
Right,1,209.116
Right,1,209.589
Right,1,210.04
Right,1,212.009
Right,1,213.826
Right,1,217.36
Right,1,214.216
Right,1,216.226
Right,1,216.597
Right,1,223.593
Right,1,227.799
Right,1,233.815
Right,1,249.836
Right,1,240.915
Right,1,235.366
Right,1,229.726
Right,1,222.375
Right,1,215.938
Right,1,221.409
Right,1,223.18
Right,1,226.056
Right,1,241.851
Right,1,244.161
Right,1,253.951
Right,1,258.72
Right,1,269.456
Right,1,264.587
Right,1,264.671
Right,1,255.402
Right,1,257.507
Right,1,251.199
Right,1,234.245
Right,1,263.881
Right,1,257.479
Right,1,266.907
Right,1,277.011
Right,1,270.614
Right,1,286.761
Right,1,301.411
Right,1,308.797
Right,1,319.291
Right,1,334.946
Right,1,369.145
Right,1,365.388
Right,1,352.976
Right,1,381.359
Right,1,376.485
Right,1,371.542
Right,1,377.269
Right,1,381.796
Right,1,393.259
Right,1,398.315
Right,1,429.473
Right,1,417.332
Right,1,444.556
Right,1,457.737
Right,1,474.463
Right,1,466.353
Right,1,490.989
Right,1,491.496
Right,1,509.232
Right,1,538.062
Right,1,558.309
Right,1,617.483
Right,1,617.483
Right,1,660.754
Right,1,676.954
Right,1,727.757
Right,1,786.744
Right,1,880.656
Right,1,1034.081
Right,1,1111.59
Right,1,1252.46
Right,1,1252.973
Right,1,1432.848
Right,1,1435.486
Right,1,1674.049
Right,1,1777.961
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Straight,1,0
Left,1,1946.955
Left,1,1642.013
Left,1,1485.183
Left,1,1249.309
Left,1,1201.62
Left,1,1010.948
Left,1,980.141
Left,1,873.769
Left,1,874.905
Left,1,852.451
Left,1,831.677
Left,1,790.329
Left,1,737.612
Left,1,737.245
Left,1,662.49
Left,1,648.776
Left,1,600.886
Left,1,589.876
Left,1,569.488
Left,1,570.506
Left,1,524.575
Left,1,508.829
Left,1,472.35
Left,1,440.868
Left,1,403.049
Left,1,375.336
Left,1,351.031
Left,1,333.397
Left,1,317.555
Left,1,303.014
Left,1,292.93
Left,1,290.8
Left,1,281.849
Left,1,277.317
Left,1,268.935
Left,1,266.697
Left,1,254.417
Left,1,247.055
Left,1,238.104
Left,1,231.895
Left,1,225.674
Left,1,223.234
Left,1,225.125
